Tag,Final_Label
cpython,Programming Concepts
permission-denied,Security Concepts
h2o,Other
android-diffutils,Operating System (OS)
python-3.2,Programming Language
sampling,Programming Concepts
backup-sqldatabase,Database Concepts
jacorb,Framework/Library
google-maps-api-3,Framework/Library
python,Programming Language
web-platform-installer,Platform/Server
blueprint-osgi,Framework/Library
weblogic14c,Tool/IDE
distributed-tracing,Security Concepts
spock,Other
modal-dialog,Programming Concepts
tpu,Machine Learning Concepts
cpu,Machine Learning Concepts
apache-modules,Platform/Server
k3s,DevOps Tools
measure,Other
growl-for-windows,Operating System (OS)
microsoft.build,Operating System (OS)
reset,Programming Concepts
jeditorpane,Programming Concepts
selenium-grid,Framework/Library
jax,Framework/Library
wiki,Programming Concepts
httplistener,Programming Concepts
thorntail,Operating System (OS)
discrete-mathematics,Other
spark-graphx,Framework/Library
node-request,Programming Concepts
unity-interception,Programming Concepts
raspbian,Operating System (OS)
bdc,Other
laravel-5.8,Framework/Library
prolog,Programming Language
pygraphviz,Programming Concepts
jbehave,Framework/Library
breadcrumbs,Other
csplit,Programming Concepts
eclipse-rcp,Tool/IDE
oraclecommand,Database Concepts
git-stash,DevOps Tools
google-geocoder,Tool/IDE
runas,Operating System (OS)
docker-buildkit,DevOps Tools
impala,Other
ethereumj,Framework/Library
laravel-blade,Framework/Library
shoulda,Other
soap-client,Programming Concepts
generative-adversarial-network,Machine Learning Concepts
ubuntu-11.10,Operating System (OS)
spaces,Database Concepts
tslog,Framework/Library
azure-file-share,Platform/Server
java-11,Programming Language
cvxpy,Framework/Library
dart-pub,Programming Concepts
feature-file,Programming Concepts
undo,Other
aptana3,Framework/Library
jython,Programming Concepts
asp.net-4.5,Framework/Library
openerp-8,Tool/IDE
editing,Programming Concepts
intellij-plugin,Tool/IDE
kubernetes-operator,DevOps Tools
facebook-messenger,Tool/IDE
swc,Framework/Library
rdd,Database Concepts
ubuntu,Operating System (OS)
multiple-users,Programming Concepts
turtle-rdf,Database Concepts
iis,Platform/Server
shopify,Tool/IDE
trinidad-gem,Platform/Server
hyperloglog,Programming Concepts
smbj,Framework/Library
blogger-dynamic-views,Programming Concepts
git-log,DevOps Tools
hive,Tool/IDE
android-espresso,Operating System (OS)
sniffer,Other
methods,Programming Concepts
googlemock,Framework/Library
wcf,Framework/Library
crud,Database Concepts
row,Database Concepts
boto3,Framework/Library
basichttpbinding,Programming Concepts
castle-dynamicproxy,Programming Concepts
ios-ui-automation,Programming Concepts
android-pendingintent,Programming Concepts
cobertura,Framework/Library
designer,Programming Concepts
ssis-2016,Tool/IDE
google-chrome-headless,Tool/IDE
angularjs-ng-repeat,Programming Concepts
standby,Other
replay,Programming Concepts
memory-management,Programming Concepts
dapr,Framework/Library
bitronix,Other
okhttp,Framework/Library
liquibase-maven-plugin,Programming Concepts
dalli,Other
airflow-webserver,Platform/Server
fflush,Programming Concepts
mariasql,Tool/IDE
ipv4,Programming Concepts
proto,Other
ansible-inventory,DevOps Tools
custom-build,Programming Concepts
utility,Programming Concepts
dfc,Other
rails-activestorage,Database Concepts
android-sdcard,Operating System (OS)
xml-validation,Programming Concepts
directed-acyclic-graphs,Programming Concepts
server-error,Programming Concepts
process-monitoring,Programming Concepts
extras,Programming Concepts
rufus-scheduler,Programming Concepts
leanft,Programming Concepts
async-await,Programming Concepts
errorformat,Programming Concepts
bundle,Programming Concepts
ksh,Programming Concepts
servlet-container,Programming Concepts
stack-overflow,Tool/IDE
tox,Programming Concepts
jface,Programming Concepts
entity-framework-5,Framework/Library
threshold,Machine Learning Concepts
cluster-computing,Machine Learning Concepts
rdbms,Database Concepts
libunwind,Framework/Library
azure-iot-hub-device-management,Platform/Server
rgl,Other
maven-dependency,Programming Concepts
collabnet,Tool/IDE
format-specifiers,Programming Concepts
google-analytics,Platform/Server
wxpython,Programming Concepts
onestepcheckout,Programming Concepts
ws-client,Tool/IDE
taskdef,Programming Concepts
data-science,Machine Learning Concepts
java-web-start,Programming Concepts
spring-vault,Programming Concepts
overwrite,Programming Concepts
ubuntu-14.04,Operating System (OS)
file-writing,Programming Concepts
log4cpp,Programming Concepts
mediawiki,Tool/IDE
reliability,Machine Learning Concepts
bridge,Programming Concepts
fastapi-middleware,Programming Concepts
opengl-es-2.0,Tool/IDE
acl,Programming Concepts
stata,Programming Concepts
token,Programming Concepts
firephp,Programming Concepts
java-stream,Programming Concepts
spring-cloud-feign,Programming Concepts
lookbehind,Programming Concepts
sqlcode,Database Concepts
angular1.6,Framework/Library
seq-logging,Programming Concepts
vcpkg,Programming Concepts
asp.net-core-mvc-2.1,Programming Concepts
netfilter,Programming Concepts
apache-kafka,Framework/Library
nexe,Programming Concepts
apache-pulsar,Programming Concepts
ilogger,Programming Concepts
httpmodule,Programming Concepts
net-snmp,Programming Concepts
dotfiles,Programming Concepts
local,Programming Concepts
clip,Programming Concepts
windows-server-2019,Tool/IDE
firewall,Programming Concepts
stack-navigator,Programming Concepts
pandoc,Framework/Library
localization,Programming Concepts
snapshot,Programming Concepts
backout,Programming Concepts
intercom,Programming Concepts
visual-web-developer,Programming Concepts
qradar,Programming Concepts
complexity-theory,Machine Learning Concepts
jdi,Other
doctrine-orm,Programming Concepts
publish-trimmed,Programming Concepts
splunk-calculation,Programming Concepts
naming,Programming Concepts
keywindow,Programming Concepts
kamon,Programming Concepts
csound,Programming Concepts
testify,Programming Concepts
office365api,Tool/IDE
info.plist,Programming Concepts
code-composer,Programming Concepts
jpql,Programming Concepts
image-compression,Programming Concepts
information-schema,Programming Concepts
superdesk,Programming Concepts
control-m,Programming Concepts
omniauth,Programming Concepts
statusbar,Programming Concepts
catel,Programming Concepts
reverse-shell,Programming Concepts
start-process,Programming Concepts
fluent-interface,Programming Concepts
keycloak-services,Programming Concepts
database-backups,Database Concepts
java-module,Programming Concepts
rackspace,Framework/Library
user-permissions,Programming Concepts
json-api,Programming Concepts
nrwl-nx,Operating System (OS)
analytics,Framework/Library
knex.js,Framework/Library
checkstyle,Programming Concepts
dotfuscator,Framework/Library
embedded-jetty,Programming Concepts
keyboard,Tool/IDE
guidewire,Programming Concepts
spring-security-oauth2,Programming Concepts
spark-java,Programming Concepts
face-recognition,Machine Learning Concepts
nls,Other
ompl,Framework/Library
uberjar,Programming Concepts
ef4-code-only,Programming Concepts
backslash,Programming Concepts
retrofit,Other
version-control-migration,DevOps Tools
proximity,Programming Concepts
grid-search,Machine Learning Concepts
keystroke,Other
drupal-8,Framework/Library
windows-7,Operating System (OS)
memory,Programming Concepts
innerhtml,Programming Concepts
truffle,Other
svn-update,DevOps Tools
login-script,Programming Concepts
java-compiler-api,Programming Concepts
azure-synapse,Platform/Server
freopen,Programming Concepts
python-internals,Programming Concepts
materialized-views,Programming Concepts
truncate,Other
mattermost,Framework/Library
osx-leopard,Operating System (OS)
single-sign-on,Programming Concepts
berkeley-db,Tool/IDE
mariadb,Tool/IDE
sum,Programming Concepts
signature,Programming Concepts
vector,Programming Concepts
database-agnostic,Database Concepts
i18next,Framework/Library
rhel5,Operating System (OS)
python-requests,Programming Concepts
jaspic,Programming Concepts
network-programming,Programming Concepts
agents-jade,Framework/Library
sql-server-2016,Tool/IDE
data-transform,Database Concepts
dynamics-crm-2011,Database Concepts
kubernetes-apiserver,DevOps Tools
grails,Framework/Library
cofundos,Framework/Library
mailcore2,Framework/Library
xcode-command-line-tools,Tool/IDE
console-application,Programming Concepts
pascal,Programming Language
imagick,Framework/Library
opscenter,Platform/Server
vscode-debugger,Tool/IDE
pyo3,Programming Concepts
okta-api,Programming Concepts
garbage-collection,Programming Concepts
sparkr,Framework/Library
msdn,Platform/Server
social-framework,Framework/Library
transactions,Database Concepts
sql-timestamp,Database Concepts
node.js-connect,Programming Concepts
openssl,Framework/Library
browser,Tool/IDE
setattribute,Programming Concepts
jbatch,Platform/Server
datakey,Database Concepts
sudo,Operating System (OS)
mail-server,Platform/Server
azure,Platform/Server
itrs,Tool/IDE
mod-security,Security Concepts
coldfusion-8,Framework/Library
hwnd,Programming Concepts
disconnect,Programming Concepts
libgit2sharp,Programming Concepts
zend-framework3,Framework/Library
bytecode-manipulation,Programming Concepts
expo,Programming Concepts
application-management,Programming Concepts
ros,Other
spoon,Other
rollbar,Programming Concepts
typhoon-kubernetes,DevOps Tools
blazemeter,DevOps Tools
stubbing,Other
systemd,Operating System (OS)
polygons,Programming Concepts
pykafka,Framework/Library
oracle-commerce,Tool/IDE
policy-injection,Programming Concepts
grafana-alerts,Programming Concepts
firebase-hosting,Platform/Server
tinkerpop,Framework/Library
gridfs,Database Concepts
atom-feed,Framework/Library
spotipy,Framework/Library
seeeduino,Operating System (OS)
dbms-output,Database Concepts
electron,Programming Concepts
invalid-argument,Programming Concepts
serve,Platform/Server
delayed-job,Programming Concepts
unified-log,Programming Concepts
hal,Programming Concepts
sorcery,Programming Concepts
xterm,Programming Concepts
jsch,Programming Concepts
webpack-serve,Programming Concepts
install4j,Framework/Library
request,Programming Concepts
chef-recipe,Programming Concepts
event-loop,Programming Concepts
net-ssh,Programming Concepts
capture-group,Programming Concepts
maven-profiles,Programming Concepts
vuejs-routing,Framework/Library
nxbre,Programming Concepts
application.conf,Programming Concepts
call-graph,Programming Concepts
audio,Programming Concepts
nano,Programming Concepts
bluetooth,Tool/IDE
google-cloud-logging,Platform/Server
azureportal,Platform/Server
spring-cloud-contract,Tool/IDE
